Hotel Name,Place,Description,Ratings,Price (INR)
Royal Residency,Mumbai,"Mini bar, TV with cable, 24/7 Room service, Laundry service, Pet-friendly",4.88,4510
The Serene Spot,Mumbai,"Gym, WiFi, Airport shuttle, Child-friendly, AC, Swimming pool, Balcony view, Pet-friendly",4.92,4464
Majestic View,Mumbai,"Free parking, Child-friendly, Swimming pool, Airport shuttle, Bar",3.16,3204
Tranquil Lodge,Pune,"Child-friendly, Gym, TV with cable, Balcony view, Restaurant",4.12,13195
Majestic View,Mumbai,"Child-friendly, Free breakfast, Bar, WiFi, TV with cable, Swimming pool, 24/7 Room service, Conference room, Coffee maker, Restaurant",1.6,4998
Harmony Hotel,Bengaluru,"TV with cable, Pet-friendly, Airport shuttle, Gym, Spa services, Bar",1.16,7416
Green Leaf,Bengaluru,"Conference room, Bar, Airport shuttle, Laundry service, TV with cable, Swimming pool, Free breakfast",1.16,19341
Urban Retreat,Pune,"Airport shuttle, Swimming pool, AC, 24/7 Room service, Bar, Coffee maker, Pet-friendly",1.36,1937
Majestic View,Bengaluru,"24/7 Room service, Conference room, WiFi, Restaurant, Child-friendly",1.48,18277
The Serene Spot,Mumbai,"Coffee maker, Airport shuttle, Business center, Free parking, Spa services, Conference room, Gym, Laundry service, Child-friendly",1.88,10555
Ocean View,Bengaluru,"Restaurant, Free parking, AC, WiFi, Gym, Spa services, Pet-friendly",3.16,18524
Ocean View,Mumbai,"Airport shuttle, Free parking, Restaurant, Bar, Pet-friendly, Swimming pool, Gym, AC, TV with cable, Balcony view",1.44,17902
Royal Residency,Pune,"Business center, Laundry service, AC, Free breakfast, Child-friendly, Spa services, 24/7 Room service",2.48,1568
Golden Nest,Bengaluru,"Free parking, 24/7 Room service, Conference room, Coffee maker, Bar, Free breakfast, Restaurant, TV with cable, Spa services, Child-friendly",1.2,8239
Hotel Sunshine,Mumbai,"Free breakfast, Pet-friendly, AC, TV with cable, Airport shuttle, Free parking, Spa services, Child-friendly, Coffee maker",4.48,7197
Emerald Elegance,Mumbai,"Mini bar, Laundry service, Conference room, Business center, Free breakfast, Airport shuttle, Spa services, TV with cable, WiFi",1.72,13536
Palm Springs,Mumbai,"TV with cable, Conference room, Free breakfast, Coffee maker, Spa services, Child-friendly",3.52,19360
Comfort Stay,Pune,"24/7 Room service, Child-friendly, Airport shuttle, Bar, Laundry service, Business center, Coffee maker, WiFi, AC",3.2,9458
Ocean View,Bengaluru,"24/7 Room service, Gym, Restaurant, Business center, Pet-friendly, Free breakfast, Coffee maker, Airport shuttle, Child-friendly",3.08,4448
Paradise Stay,Mumbai,"WiFi, Swimming pool, AC, TV with cable, 24/7 Room service, Free breakfast, Laundry service, Free parking, Child-friendly, Conference room",3.04,12015
Ocean View,Mumbai,"Laundry service, Gym, Pet-friendly, Spa services, TV with cable, Balcony view, WiFi",2.16,2151
Grand Palace,Mumbai,"Balcony view, Free parking, Gym, Mini bar, Spa services, AC",1.28,4094
Hotel Sunshine,Pune,"Spa services, Business center, Laundry service, TV with cable, 24/7 Room service, Conference room, WiFi, Restaurant",1.48,1963
Regal Heights,Pune,"Balcony view, Restaurant, Airport shuttle, Bar, Child-friendly, Gym, TV with cable, 24/7 Room service, Conference room",1.96,2745
Harmony Hotel,Pune,"Gym, Conference room, Spa services, AC, Free parking",1.48,2243
Regal Heights,Bengaluru,"TV with cable, Business center, Child-friendly, Gym, 24/7 Room service, Restaurant, Bar, WiFi",4.32,2384
Elite Stay,Pune,"Mini bar, Coffee maker, Swimming pool, Free breakfast, Business center, Balcony view, TV with cable, Bar, Free parking, Child-friendly",2.16,16930
Palm Springs,Mumbai,"Airport shuttle, Balcony view, Mini bar, Pet-friendly, Bar, Restaurant, Spa services, Free parking, Free breakfast, Business center",3.12,17497
Urban Retreat,Pune,"Balcony view, 24/7 Room service, Bar, Conference room, Restaurant, Pet-friendly, Gym, Mini bar",2.72,8690
Skyline Hotel,Bengaluru,"Swimming pool, Spa services, Gym, Restaurant, Bar, Balcony view, Free parking, Business center, Pet-friendly, AC",2.48,8510
Ocean View,Mumbai,"Pet-friendly, Airport shuttle, Balcony view, TV with cable, Spa services, WiFi, Mini bar",3.68,3771
Majestic View,Pune,"Spa services, Pet-friendly, Laundry service, WiFi, Business center",1.96,2302
Hotel Sunshine,Pune,"Conference room, Swimming pool, Free breakfast, Free parking, Mini bar",4.76,8137
Green Leaf,Bengaluru,"Business center, Restaurant, Conference room, TV with cable, Pet-friendly",4.4,5756
Elite Stay,Pune,"Free breakfast, AC, Bar, Pet-friendly, Conference room, Coffee maker, Restaurant, Swimming pool, Business center, Free parking",4.88,16893
Palm Springs,Bengaluru,"Bar, AC, Free breakfast, Swimming pool, Coffee maker, Free parking",1.56,3551
Skyline Hotel,Pune,"Laundry service, Spa services, Child-friendly, Swimming pool, 24/7 Room service, Free parking, Business center, Conference room, AC",4.76,7829
Hotel Sunshine,Pune,"Conference room, Business center, Mini bar, 24/7 Room service, Pet-friendly, Bar, Balcony view",1.68,6095
Skyline Hotel,Mumbai,"Restaurant, Spa services, AC, Bar, Business center, Airport shuttle, Conference room, Laundry service, Coffee maker, Gym",2.44,17869
Paradise Stay,Bengaluru,"Balcony view, Airport shuttle, Bar, Restaurant, AC, Conference room",4.6,19582
The Serene Spot,Bengaluru,"Mini bar, Conference room, Free breakfast, Spa services, 24/7 Room service, Balcony view",4.88,18623
Grand Palace,Mumbai,"Child-friendly, AC, TV with cable, Coffee maker, Bar, Free breakfast, WiFi, Business center, Spa services, Mini bar",4.04,6242
Majestic View,Mumbai,"Balcony view, WiFi, Child-friendly, Airport shuttle, Bar, Spa services, Business center",3.08,6434
Golden Nest,Pune,"Airport shuttle, Free parking, Balcony view, Swimming pool, WiFi, TV with cable, 24/7 Room service, Spa services",4.4,5161
Golden Nest,Pune,"Free parking, Bar, 24/7 Room service, Gym, Child-friendly",3.76,10067
Paradise Stay,Bengaluru,"24/7 Room service, Restaurant, Airport shuttle, Bar, AC, Conference room, Free breakfast",2.88,12379
Hotel Sunshine,Bengaluru,"Business center, Airport shuttle, Balcony view, TV with cable, Pet-friendly",1.0,15403
Regal Heights,Pune,"Business center, Spa services, Conference room, Laundry service, Balcony view, Swimming pool",1.72,6803
Green Leaf,Mumbai,"Child-friendly, Bar, Mini bar, Swimming pool, Gym, Pet-friendly, TV with cable, Balcony view",1.84,8216
The Serene Spot,Bengaluru,"Mini bar, Swimming pool, Pet-friendly, Bar, Gym, 24/7 Room service, AC",4.08,4082
Elite Stay,Mumbai,"Mini bar, Laundry service, 24/7 Room service, WiFi, TV with cable, Gym, Free parking, AC, Balcony view",4.64,17195
The Sapphire,Pune,"Balcony view, AC, Laundry service, Spa services, Bar",4.32,12516
Hotel Sunshine,Bengaluru,"Spa services, Coffee maker, Gym, Free breakfast, TV with cable",3.92,12166
Palm Springs,Mumbai,"WiFi, TV with cable, Pet-friendly, AC, Laundry service, Bar, Gym, Balcony view, Mini bar",3.8,8217
Hotel Sunshine,Bengaluru,"WiFi, Free parking, AC, Free breakfast, Airport shuttle, Swimming pool, Bar, Laundry service, TV with cable, Conference room",2.32,2876
Emerald Elegance,Mumbai,"Pet-friendly, Business center, AC, Free parking, Mini bar, WiFi",1.04,16482
Ocean View,Bengaluru,"Coffee maker, Swimming pool, WiFi, Balcony view, Airport shuttle, Free breakfast",1.4,18830
Golden Nest,Mumbai,"Pet-friendly, Gym, Airport shuttle, Coffee maker, Bar, Child-friendly, Free breakfast, Restaurant, Balcony view, Business center",1.16,4987
Green Leaf,Pune,"WiFi, Mini bar, Laundry service, 24/7 Room service, TV with cable, Free breakfast, Bar, Spa services, Airport shuttle, Coffee maker",1.36,17675
Palm Springs,Bengaluru,"24/7 Room service, Balcony view, Restaurant, Pet-friendly, Free breakfast, Mini bar, Business center, TV with cable, Child-friendly, WiFi",2.32,10439
Harmony Hotel,Bengaluru,"Airport shuttle, Conference room, Gym, Balcony view, TV with cable, Laundry service, Spa services, Child-friendly",4.16,2184
Ocean View,Mumbai,"Business center, TV with cable, Conference room, 24/7 Room service, Pet-friendly",4.48,6495
Emerald Elegance,Mumbai,"Child-friendly, Coffee maker, 24/7 Room service, Pet-friendly, Mini bar, Laundry service",1.08,3033
Tranquil Lodge,Pune,"Gym, Restaurant, Coffee maker, Swimming pool, Conference room, Mini bar, Spa services",3.0,19817
Paradise Stay,Bengaluru,"Spa services, Swimming pool, Free breakfast, Laundry service, Restaurant, WiFi, AC, Coffee maker",3.68,9632
Majestic View,Bengaluru,"Spa services, Pet-friendly, Business center, Laundry service, Balcony view",3.32,6120
Green Leaf,Mumbai,"Child-friendly, TV with cable, Mini bar, Free breakfast, Pet-friendly, Business center",2.88,3949
Paradise Stay,Mumbai,"Laundry service, AC, Free parking, TV with cable, Conference room, Free breakfast, Pet-friendly, Mini bar, Airport shuttle",5.0,5986
Majestic View,Bengaluru,"Mini bar, 24/7 Room service, Restaurant, Spa services, Pet-friendly, Child-friendly, Coffee maker",3.16,11559
Palm Springs,Bengaluru,"Laundry service, Bar, Child-friendly, Conference room, AC, Free breakfast, Swimming pool",1.56,9882
Royal Residency,Bengaluru,"Swimming pool, Gym, WiFi, Free parking, Mini bar",2.0,4870
Emerald Elegance,Mumbai,"TV with cable, Free parking, Laundry service, Coffee maker, Free breakfast, AC, Swimming pool, Spa services",4.4,6477
Tranquil Lodge,Pune,"Pet-friendly, Spa services, Coffee maker, Laundry service, WiFi, 24/7 Room service, TV with cable",3.0,3924
Hotel Sunshine,Mumbai,"Swimming pool, Free parking, Coffee maker, WiFi, Spa services, Gym, Bar, Balcony view, Airport shuttle, Child-friendly",3.48,2300
Hotel Sunshine,Mumbai,"Free breakfast, Gym, Free parking, Business center, Bar",4.88,5581
Palm Springs,Bengaluru,"Child-friendly, Airport shuttle, WiFi, AC, Conference room, Restaurant, TV with cable, Business center, Pet-friendly, Swimming pool",1.68,5961
Majestic View,Mumbai,"Business center, 24/7 Room service, Bar, Coffee maker, AC, Restaurant, Balcony view",1.24,8907
Paradise Stay,Bengaluru,"24/7 Room service, Bar, TV with cable, Laundry service, Coffee maker, WiFi, Gym, Airport shuttle",3.2,15330
